1
#expresion
^\d+::(.+)\s\((\d{4})\):{2}.+\S


insert into movies (year,title) values(1995, "Clockers");
insert into movies (year,title) values(1995, "Toy Story");
insert into movies (year,title) values(1995, "Jumanji");
insert into movies (year,title) values(1995, "Grumpier Old Men");
insert into movies (year,title) values(1995, "Waiting to Exhale");
insert into movies (year,title) values(1995, "Father of the Bride Part II");
insert into movies (year,title) values(1995, "Heat");
insert into movies (year,title) values(1995, "Sabrina");
insert into movies (year,title) values(1995, "Tom and Huck");
insert into movies (year,title) values(1995, "Sudden Death");
insert into movies (year,title) values(1995, "GoldenEye");
insert into movies (year,title) values(1995, "American President, The");
insert into movies (year,title) values(1995, "Dracula: Dead and Loving It");
insert into movies (year,title) values(1995, "Balto");
insert into movies (year,title) values(1995, "Nixon");
insert into movies (year,title) values(1995, "Cutthroat Island");
insert into movies (year,title) values(1995, "Casino");
insert into movies (year,title) values(1995, "Sense and Sensibility");
insert into movies (year,title) values(1995, "Four Rooms");
insert into movies (year,title) values(1995, "Ace Ventura: When Nature Calls");
insert into movies (year,title) values(1995, "Money Train");
insert into movies (year,title) values(1995, "Get Shorty");
insert into movies (year,title) values(1995, "Copycat");
insert into movies (year,title) values(1995, "Assassins");
insert into movies (year,title) values(1995, "Powder");
insert into movies (year,title) values(1995, "Leaving Las Vegas");
insert into movies (year,title) values(1995, "Othello");
insert into movies (year,title) values(1995, "Now and Then");
insert into movies (year,title) values(1995, "Persuasion");
insert into movies (year,title) values(1995, "City of Lost Children, The (Cité des enfants perdus, La)");
insert into movies (year,title) values(1995, "Shanghai Triad (Yao a yao yao dao waipo qiao)");
insert into movies (year,title) values(1995, "Dangerous Minds");
insert into movies (year,title) values(1995, "12 Monkeys (Twelve Monkeys)");
insert into movies (year,title) values(1995, "Wings of Courage");
insert into movies (year,title) values(1995, "Babe");
insert into movies (year,title) values(1995, "Carrington");
insert into movies (year,title) values(1995, "Dead Man Walking");
insert into movies (year,title) values(1995, "Across the Sea of Time");
insert into movies (year,title) values(1995, "It Takes Two");
insert into movies (year,title) values(1995, "Clueless");
insert into movies (year,title) values(1995, "Cry, the Beloved Country");
insert into movies (year,title) values(1995, "Richard III");
insert into movies (year,title) values(1995, "Dead Presidents");
insert into movies (year,title) values(1995, "Restoration");
insert into movies (year,title) values(1995, "Mortal Kombat");
insert into movies (year,title) values(1995, "To Die For");
insert into movies (year,title) values(1995, "How to Make an American Quilt");
insert into movies (year,title) values(1995, "Seven (a.k.a. Se7en)");
insert into movies (year,title) values(1995, "Pocahontas");
insert into movies (year,title) values(1995, "When Night Is Falling");
insert into movies (year,title) values(1995, "Usual Suspects, The");
insert into movies (year,title) values(1994, "Guardian Angel");
insert into movies (year,title) values(1995, "Mighty Aphrodite");
insert into movies (year,title) values(1994, "Lamerica");
insert into movies (year,title) values(1995, "Big Green, The");
insert into movies (year,title) values(1995, "Georgia");
insert into movies (year,title) values(1995, "Kids of the Round Table");
insert into movies (year,title) values(1995, "Home for the Holidays");
insert into movies (year,title) values(1994, "Postman, The (Postino, Il)");
insert into movies (year,title) values(1995, "Confessional, The (Confessionnal, Le)");
insert into movies (year,title) values(1995, "Indian in the Cupboard, The");
insert into movies (year,title) values(1996, "Eye for an Eye");
insert into movies (year,title) values(1995, "Mr. Holland's Opus");
insert into movies (year,title) values(1996, "Don't Be a Menace to South Central While Drinking Your Juice in the Hood");
insert into movies (year,title) values(1996, "Two if by Sea");
insert into movies (year,title) values(1996, "Bio-Dome");
insert into movies (year,title) values(1996, "Lawnmower Man 2: Beyond Cyberspace");
insert into movies (year,title) values(1995, "Two Bits");
insert into movies (year,title) values(1995, "French Twist (Gazon maudit)");
insert into movies (year,title) values(1995, "Friday");
insert into movies (year,title) values(1996, "From Dusk Till Dawn");
insert into movies (year,title) values(1995, "Fair Game");
insert into movies (year,title) values(1995, "Kicking and Screaming");
insert into movies (year,title) values(1995, "Misérables, Les");
insert into movies (year,title) values(1996, "Bed of Roses");
insert into movies (year,title) values(1996, "Big Bully");
insert into movies (year,title) values(1995, "Screamers");
insert into movies (year,title) values(1995, "Nico Icon");
insert into movies (year,title) values(1995, "Crossing Guard, The");
insert into movies (year,title) values(1996, "Juror, The");
insert into movies (year,title) values(1995, "White Balloon, The (Badkonake sefid)");
insert into movies (year,title) values(1995, "Things to Do in Denver When You're Dead");
insert into movies (year,title) values(1995, "Antonia's Line (Antonia)");
insert into movies (year,title) values(1995, "Once Upon a Time... When We Were Colored");
insert into movies (year,title) values(1995, "Last Summer in the Hamptons");
insert into movies (year,title) values(1995, "Angels and Insects");
insert into movies (year,title) values(1996, "White Squall");
insert into movies (year,title) values(1996, "Dunston Checks In");
insert into movies (year,title) values(1996, "Black Sheep");
insert into movies (year,title) values(1995, "Nick of Time");
insert into movies (year,title) values(1995, "Journey of August King, The");
insert into movies (year,title) values(1996, "Mary Reilly");
insert into movies (year,title) values(1995, "Vampire in Brooklyn");
insert into movies (year,title) values(1996, "Beautiful Girls");
insert into movies (year,title) values(1996, "Broken Arrow");
insert into movies (year,title) values(1995, "In the Bleak Midwinter");
insert into movies (year,title) values(1995, "Hate (Haine, La)");
insert into movies (year,title) values(1994, "Shopping");
insert into movies (year,title) values(1995, "Heidi Fleiss: Hollywood Madam");
insert into movies (year,title) values(1996, "City Hall");
insert into movies (year,title) values(1996, "Bottle Rocket");
insert into movies (year,title) values(1996, "Mr. Wrong");
insert into movies (year,title) values(1996, "Unforgettable");
insert into movies (year,title) values(1996, "Happy Gilmore");
insert into movies (year,title) values(1995, "Bridges of Madison County, The");
insert into movies (year,title) values(1994, "Nobody Loves Me (Keiner liebt mich)");
insert into movies (year,title) values(1996, "Muppet Treasure Island");
insert into movies (year,title) values(1996, "Catwalk");
insert into movies (year,title) values(1995, "Headless Body in Topless Bar");
insert into movies (year,title) values(1995, "Braveheart");
insert into movies (year,title) values(1976, "Taxi Driver");
insert into movies (year,title) values(1995, "Rumble in the Bronx (Hont faan kui)");
insert into movies (year,title) values(1996, "Before and After");
insert into movies (year,title) values(1995, "Margaret's Museum");
insert into movies (year,title) values(1995, "Happiness Is in the Field (Bonheur est dans le pré, Le)");
insert into movies (year,title) values(1995, "Anne Frank Remembered");
insert into movies (year,title) values(1995, "Young Poisoner's Handbook, The");
insert into movies (year,title) values(1996, "If Lucy Fell");
insert into movies (year,title) values(1995, "Steal Big, Steal Little");
insert into movies (year,title) values(1996, "Race the Sun");
insert into movies (year,title) values(1992, "Boys of St. Vincent, The");
insert into movies (year,title) values(1992, "Boomerang");
insert into movies (year,title) values(1994, "Chungking Express (Chóngqìng Senlín)");
insert into movies (year,title) values(1995, "Star Maker, The (L'Uomo delle stelle)");
insert into movies (year,title) values(1996, "Flirting With Disaster");
insert into movies (year,title) values(1994, "NeverEnding Story III, The");
insert into movies (year,title) values(1994, "Silence of the Palace, The (Saimt el Qusur)");
insert into movies (year,title) values(1994, "Jupiter's Wife");
insert into movies (year,title) values(1996, "Pie in the Sky");
insert into movies (year,title) values(1995, "Angela");
insert into movies (year,title) values(1995, "Frankie Starlight");
insert into movies (year,title) values(1995, "Jade");
insert into movies (year,title) values(1995, "Nueba Yol");
insert into movies (year,title) values(1995, "Sonic Outlaws");
insert into movies (year,title) values(1996, "Down Periscope");
insert into movies (year,title) values(1995, "From the Journals of Jean Seberg");
insert into movies (year,title) values(1995, "Man of the Year");
insert into movies (year,title) values(1995, "Neon Bible, The");
insert into movies (year,title) values(1995, "Target");
insert into movies (year,title) values(1996, "Up Close and Personal");
insert into movies (year,title) values(1996, "Birdcage, The");
insert into movies (year,title) values(1988, "Shadows (Cienie)");
insert into movies (year,title) values(1995, "Gospa");
insert into movies (year,title) values(1995, "Brothers McMullen, The");
insert into movies (year,title) values(1995, "Bad Boys");
insert into movies (year,title) values(1995, "Amazing Panda Adventure, The");
insert into movies (year,title) values(1995, "Basketball Diaries, The");
insert into movies (year,title) values(1995, "Awfully Big Adventure, An");
insert into movies (year,title) values(1994, "Amateur");
insert into movies (year,title) values(1995, "Apollo 13");
insert into movies (year,title) values(1995, "Rob Roy");
insert into movies (year,title) values(1995, "Addiction, The");
insert into movies (year,title) values(1995, "Batman Forever");
insert into movies (year,title) values(1967, "Belle de jour");
insert into movies (year,title) values(1995, "Beyond Rangoon");
insert into movies (year,title) values(1995, "Blue in the Face");
insert into movies (year,title) values(1995, "Canadian Bacon");
insert into movies (year,title) values(1995, "Casper");
insert into movies (year,title) values(1995, "Congo");
insert into movies (year,title) values(1995, "Crimson Tide");
insert into movies (year,title) values(1994, "Crumb");
insert into movies (year,title) values(1995, "Desperado");
insert into movies (year,title) values(1995, "Devil in a Blue Dress");
insert into movies (year,title) values(1995, "Die Hard: With a Vengeance");
insert into movies (year,title) values(1995, "Doom Generation, The");
insert into movies (year,title) values(1995, "Feast of July");
insert into movies (year,title) values(1995, "First Knight");
